source_city,dest_city,source_lat,source_lon,dest_lat,dest_lon,distance,weight,priority,delivery_days,delay
Kolkata,Hyderabad,22.5726,88.3639,17.385,78.4867,1181.8821002123357,47.54064388985482,medium,5.74,1
Kolkata,Bangalore,22.5726,88.3639,12.9716,77.5946,1560.6966232595826,5.088748299318343,low,5.59,0
Surat,Pune,21.1702,72.8311,18.5204,73.8567,313.5586084722392,32.57933480014776,low,4.08,1
Chennai,Delhi,13.0827,80.2707,28.7041,77.1025,1767.651411147008,9.17306586363432,low,6.33,0
Chennai,Jaipur,13.0827,80.2707,26.9124,75.7873,1607.0991969543372,14.63233409588229,medium,4.12,0
Bangalore,Surat,12.9716,77.5946,21.1702,72.8311,1042.544441001257,49.16322120175873,low,7.14,1
Kolkata,Ahmedabad,22.5726,88.3639,23.0225,72.5714,1618.8555906737163,22.579912673280194,low,7.54,1
Delhi,Jaipur,28.7041,77.1025,26.9124,75.7873,237.5325023947467,0.8967159857886883,low,1.57,0
Kolkata,Pune,22.5726,88.3639,18.5204,73.8567,1575.3760535945123,1.815987203649398,high,2.62,0
Surat,Hyderabad,21.1702,72.8311,17.385,78.4867,727.5456673720201,15.654382696861607,medium,3.32,1
Chennai,Delhi,13.0827,80.2707,28.7041,77.1025,1767.651411147008,38.77912788571962,high,5.62,1
Surat,Kolkata,21.1702,72.8311,22.5726,88.3639,1609.6773409097977,26.0896295752886,high,4.75,1
Delhi,Chennai,28.7041,77.1025,13.0827,80.2707,1767.651411147008,29.378883166626025,high,4.72,1
Pune,Mumbai,18.5204,73.8567,19.076,72.8777,120.15230196919705,0.8802566963855771,low,1.47,0
Surat,Pune,21.1702,72.8311,18.5204,73.8567,313.5586084722392,0.8025831534827143,low,2.48,1
Bangalore,Mumbai,12.9716,77.5946,19.076,72.8777,845.3183856559485,30.33740274157247,high,3.87,1
Kolkata,Jaipur,22.5726,88.3639,26.9124,75.7873,1357.7741901445263,31.20257652869514,low,5.93,1
